,Deposit,DepositGroup,DepositType,Country,Region,Lat,Lon,Age_Ma,Age_Error_Ma,Age_Method,Age_Confidence,Ore_Tonnage_Mt,Cu_Grade_Percent,Cu_Tonnage_Mt,Tectonic_Setting,Source,References,Notes,Recon_Age_Ma,Age_Mod_Flag,Plate_ID
1939,San Matias,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Colombia,,7.75083,-75.71361,74.6,,Direct — Ore mineral,,114.3,0.45,0.51435,not reported,Magnin_2025,Hammarstrom (2022); Leal-Mejía and Hart (2017); Manco and others (2018); Kuntz and others (2019); ; Kuntz and others (2019),,74.6,0,2041
1940,San Salvador de Patillani,Porphyry,Porphyry copper,Peru,,-15.625,-70.99167,12.81,,Inferred,,,,,not reported,Magnin_2025,Singer and others (2008); Singer and others (2008) and references therein,,12.81,0,201
1941,San Xavier North,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,United States,,32.02773,-111.08037,58.0,1.2,Not reported,,208.0,0.54,1.1232,continental arc,Magnin_2025,Dicken and others (2016); McCandless and Ruiz (1993); Dicken and others (2016) and references therein; Singer and others (2008) and references therein,,58.0,0,101
1942,Sanchakou,Porphyry,Porphyry copper,China,,42.3583,94.7555,278.0,4.0,Inferred — Associated intrusion,,,,,island arc,Magnin_2025,Dicken and others (2016); Li and others (2004a); Dicken and others (2016) and references therein,,278.0,0,451
1943,Sanchez,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,United States,,32.88336,-109.54622,,,,,148.0,0.29,0.4291999999999999,continental arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources.,0.0,1,101
1944,Sangihe,Porphyry,Porphyry copper,Indonesia,,3.433,125.567,,,,,,,,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein,,0.0,1,669
1945,Sant uul,Porphyry,Porphyry copper,Mongolia,,49.1342,113.3506,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,430
1946,Santa Catalina,Porphyry,Porphyry copper,Chile,,-22.65,-69.16666,,,,,109.0,0.7,0.763,continental arc,Magnin_2025,Sinclair (2007); ; Sinclair (2007); Cabello (1999),,0.0,1,201
1947,Santo Niño,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Philippines,,16.49028,120.65556,9.47,0.25,Not reported,,286.0,0.345,0.9867,island arc,Magnin_2025,Dicken and others (2016); Imai (2002); Dicken and others (2016) and references therein; Singer and others (2008) and references therein,,9.47,0,737
1948,Santo Tomás,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Mexico,,26.71719,-108.23386,57.2,1.2,Not reported,,274.0,0.5,1.37,continental arc,Magnin_2025,Dicken and others (2016); Damon and others (1983); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,57.2,0,1086
1949,Sar Bagh,Porphyry,Porphyry copper,Iran,,29.9917,56.0333,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Huber (1978); Dicken and others (2016) and references therein,,0.0,1,505
1950,Sar Chah Shur,Porphyry,Porphyry copper — Calc-alkaline to alkaline,Iran,,32.3583,58.8917,39.52,,Inferred,,,,,mixed,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,39.52,0,505
1951,Sar Cheshmeh,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,29.9503,55.8721,13.29,0.08,Direct — Ore mineral,,1538.0,0.58,8.920399999999999,continental arc,Magnin_2025,Dicken and others (2016); Aghazadeh and others (2015); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Cited age is a weighted mean of four molybdenite Re-Os model ages. Grade-tonnage are code noncompliant resources.,13.29,0,505
1952,Sar Kuh,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,29.935,55.817,15.14,0.08,Direct — Ore mineral,,16.0,0.46,0.0736,continental arc,Magnin_2025,Dicken and others (2016); Mirnejad and others (2013); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,15.14,0,505
1953,Sar Mashk,Porphyry,Porphyry copper,Iran,,29.4,57.1417,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,505
1954,Sara,Porphyry,Porphyry copper,Iran,,30.4511,55.138,13.3,1.1,Not reported,,,,,continental arc,Magnin_2025,Dicken and others (2016); Shafiei and others (2009); Dicken and others (2016) and references therein,,13.3,0,505
1955,Sarajieh,Porphyry,Porphyry copper,Iran,,33.9484,52.4151,,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Iran Geological Survey (2012b) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,Possible porphyry-related Pb-Cu-Mo-Au-W-Ag vein.,0.0,1,505
1956,Saran Uul,Porphyry,Porphyry copper,Mongolia,,45.763,100.6022,327.0,7.0,Inferred — Age of Taats Gol,,,,,continental arc,Magnin_2025,Dicken and others (2016); Watanabe and others (1999); Dicken and others (2016) and references therein,,327.0,0,430
1957,Sardes,Porphyry,Porphyry copper,Greece,,39.975,25.186,,,,,,,,postconvergence,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein,,0.0,1,521
1958,Sargod,Porphyry,Porphyry copper,Iran,,29.0917,57.325,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,505
1959,Sari Cheku (Sarycheku; Almalyk district),Porphyry,Porphyry copper ± gold — Alkaline,Uzbekistan,,40.77757,69.77919,317.6,2.4,Direct — Ore mineral,,200.0,0.5,1.0,postconvergence,Magnin_2025,Dicken and others (2016); Xue and others (2013); Dicken and others (2016) and references therein; Wu and others (2022) and references therein,"Mineralization age is the weighted mean, interpreted to be the age of Cu mineralization.",260.0,0,466
1960,Sariçayiryayla,Porphyry,Porphyry copper-molybdenum - Skarn copper — Calc-alkaline,Turkey,,39.9069,29.4613,50.0,,Not reported,,120.299,0.168,0.20210232,mixed,Magnin_2025,Dicken and others (2016); Yigit (2009); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Porphyry-skarn copper-molybdenum-gold. Grade-tonnage are code noncompliant resources.,50.0,0,521
1961,Sarikaya,Porphyry,Porphyry copper,Turkey,,40.6953,40.7228,83.25,,Inferred,,,,,mixed,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,83.25,0,526
1962,Sarkuh,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,29.94,55.81,15.14,0.08,Direct — Ore mineral,,16.0,0.4,0.064,syn-orogenic,Magnin_2025,Huston and others (2023); Mirnejad and others (2013); Mirnejad and others (2013); Mirnejad and others (2013),,15.14,0,505
1963,Sarlakhlu2,Porphyry,Porphyry copper,Iran,,38.3,47.3667,19.62,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,19.62,0,505
1964,Saryshagan,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Kazakhstan,,46.25667,73.19861,380.0,,Not reported,,324.0,0.27,0.8748,continental arc,Magnin_2025,Dicken and others (2016); Wu and others (2022) and references therein; Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,320.0,0,461
1965,Sasa,Porphyry,Porphyry copper,North Macedonia,,42.10674,22.54276,,,,,,,,postconvergence,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein,,0.0,1,349
1966,Sasca,Porphyry,Porphyry copper - Skarn copper,Romania,,44.86667,21.71667,65.0,,Not reported,,12.0,0.75,0.09,continental arc,Magnin_2025,Dicken and others (2016); Cioflica and Vlad (1980) in Singer and others (2008); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,65.0,0,340
1967,Sassak,Porphyry,Porphyry copper,Indonesia,,-3.158,119.48,10.7,,Inferred — Associated intrusion,,,,,mixed,Magnin_2025,Dicken and others (2016); Maulana and others (2020); Dicken and others (2016) and references therein,,10.7,0,668
1968,Satevo,Porphyry,Porphyry copper,Mexico,,26.98778,-107.71906,51.6,1.1,Not reported,,,,,continental arc,Magnin_2025,Dicken and others (2016); Wilkerson and others (1988); Dicken and others (2016) and references therein,,51.6,0,1086
1969,Satyr Hudag,Porphyry,Porphyry copper,Mongolia,,46.05,96.4333,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,430
1970,Saugon,Porphyry,Porphyry copper,Philippines,,8.137,126.046,12.81,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,12.81,0,678
1971,Savundrondro Creek,Porphyry,Porphyry copper,Fiji,,-16.74854,179.39153,,,,,,,,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein,,0.0,1,825
1972,Sawmill,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Canada,,52.46811,-122.27332,215.0,1.0,Inferred — Age for Gibraltar,,68.479,0.244,0.16708876,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Harding (2012); Dicken and others (2016) and references therein; Kirkham and Dunne (2000),,200.0,0,103401
1973,Sawuer,Porphyry,Porphyry copper,China,,47.2459,85.9564,335.0,,Inferred — Associated intrusion,,,,,island arc,Magnin_2025,Dicken and others (2016); Guo and others (2010); Dicken and others (2016) and references therein,,335.0,0,401
1974,Sayacik,Porphyry,Porphyry copper,Turkey,,38.4416,29.1075,14.49,0.06,Direct — Ore mineral,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Baker and others (2016); Dicken and others (2016) and references therein,,14.49,0,522
1975,Schaft Creek,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Canada,,57.3642,-130.99032,222.0,0.8,Direct — Ore mineral,,1878.81,0.243,4.565508299999999,island arc,Magnin_2025,Dicken and others (2016); Scott and others (2008); Logan and Mihalynuk (2014); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources and reserves.,200.0,0,1035
1976,SE Sanandaj,Porphyry,Porphyry copper,Iran,,35.07,47.5819,83.25,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,"Prospect idenfitied by remote sensing (Dicken and others, 2016).",83.25,0,505
1977,Section 21,Porphyry,Porphyry copper,United States,,64.2075,-143.801,107.4,0.5,Direct — Ore mineral,,,,,continental arc,Magnin_2025,Dicken and others (2016); Kreiner and others (2021); Dicken and others (2016) and references therein,,107.4,0,100220
1978,Seel,Porphyry,Porphyry copper,Canada,,53.65379,-127.09412,82.0,,Inferred — Age for Huckleberry,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Nelson and others (2013); Dicken and others (2016) and references therein,,82.0,0,1035
1979,SE-Hamdin,Porphyry,Porphyry copper,Iran,,30.4009,55.4933,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,505
1980,Seli,Porphyry,Porphyry copper,China,,30.17559,98.57984,39.4,0.2,Inferred — Associated intrusion,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Zhang and Xie (1997); Chen and others (2016); Dicken and others (2016) and references therein,,39.4,0,616
1981,Selodong,Porphyry,Porphyry copper,Indonesia,,-8.857,116.023,,,,,81.855,0.24,0.196452,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources.,0.0,1,651
1982,Sementlov,Porphyry,Porphyry copper,Slovakia,,48.425,18.899,14.18,,Inferred,,64.0,0.16,0.1024,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,14.18,0,334
1983,Senj,Porphyry,Porphyry copper,Iran,,36.075,51.017,20.6,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,20.6,0,505
1984,Sepon,Porphyry,Porphyry copper,Laos,,17.0,106.0,,,,,31.7,2.24,0.71008,not reported,Magnin_2025,Sinclair (2007); ; ; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources and reserves.,0.0,1,604
1985,Serçeler,Porphyry,Porphyry copper,Turkey,,40.02898,38.6101,40.8,0.36,Inferred — Associated intrusion,,,,,postconvergence,Magnin_2025,New; Kuscu and others (2019); Kuscu and others (2019),Coordinates project from ED 50 UTM zone 37.,40.8,0,525
1986,Serenu,Porphyry,Porphyry copper,Iran,,30.4833,54.9833,19.62,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,19.62,0,505
1987,Seridune,Porphyry,Porphyry copper,Iran,,29.9737,55.9121,8.48,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,8.48,0,505
1988,Severniy,Porphyry,Porphyry copper,Kyrgyzstan,,42.0,74.0,,,,,1.8,0.26,0.00468,not reported,Magnin_2025,Mudd and Jowitt (2018); ; ; Mudd and Jowitt (2018),Location is estimated based on nearby localities or region boundaries. Grade-tonnage are code noncompliant resources.,0.0,1,466
1989,SFS (New York Canyon),Porphyry,Porphyry copper,United States,,38.49194,-118.075,105.0,,Not reported,,159.0,0.46,0.7314,mixed,Magnin_2025,Dicken and others (2016); Singer and others (2008); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,105.0,0,100311
1990,Shadan,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,32.3584,59.0249,37.26,0.26,Inferred — Alteration mineral,,,,,mixed,Magnin_2025,Dicken and others (2016); Richards and others (2012); Dicken and others (2016) and references therein,,37.26,0,505
1991,Shadow Mountain,Porphyry,Porphyry copper,Mongolia,,42.7106,106.1483,290.0,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,453
1992,Shady Ridge,Porphyry,Porphyry copper,United States,,63.1,-141.1,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,100220
1993,Shah-Kuh,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,27.9833,62.0833,28.47,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); McCall (1997); Dicken and others (2016) and references therein,,28.47,0,505
1994,Shaida,Porphyry,Porphyry copper,Afghanistan,,33.85,61.85,38.5,,Inferred — Median age of the stratigraphic series or stage the mineralization belongs,,,,,not reported,Magnin_2025,Bertrand and others (2014); Bertrand and others (2014) and references therein,,38.5,0,506
1995,Shaktama,Porphyry,Porphyry copper-molybdenum — High-K calc-alkaline,Russia,,51.283,117.883,152.5,,Not reported,,1100.0,0.26,2.86,postconvergence,Magnin_2025,Dicken and others (2016); Berzina and others (2005); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,152.5,0,430
1996,Shaman,Porphyry,Porphyry copper,Russia,,51.4501,139.91171,78.25,,Inferred,,,,,mixed,Magnin_2025,"Dicken and others (2016); Andrei F. Chitalin (written commun., 2009) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein",,78.25,0,621
1997,Shand,Porphyry,Porphyry copper,Mongolia,,48.775,104.2167,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,430
1998,Shangalon,Porphyry,Porphyry copper,Myanmar,,23.70833,95.51667,44.95,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,44.95,0,7250
1999,Shangjiazhuang,Porphyry,Porphyry copper,China,,37.2917,120.859,,,Inferred,,71.0,0.047,0.03337,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,0.0,1,601
2000,Sharchuluut Uul,Porphyry,Porphyry copper,Mongolia,,49.1909,103.7639,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,430
2001,Sharhad,Porphyry,Porphyry copper,Mongolia,,49.6075,105.614,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,430
2002,Sharhad group (Ereen iher),Porphyry,Porphyry copper,Mongolia,,48.8167,102.5667,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,430
2003,Sharif Abad,Porphyry,Porphyry copper,Iran,,33.8667,51.1667,19.62,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Iran Geological Survey (2012a) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,19.62,0,505
2004,Sharkhad,Porphyry,Porphyry copper,Mongolia,,49.5622,105.6305,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,430
2005,Sharon,Porphyry,Porphyry copper,Mongolia,,49.7667,104.95,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,401
2006,Shaxi,Porphyry,Porphyry copper,China,,31.1833,117.267,123.6,0.7,Not reported,,49.0,0.4,0.196,postconvergence,Magnin_2025,Dicken and others (2016); Hou and others (2011); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,123.6,0,602
2007,Sheep Mountain,Porphyry,Porphyry copper,United States,,34.03819,-112.35407,70.34,0.36,Direct — Ore mineral,,40.0,1.6,0.64,continental arc,Magnin_2025,Dicken and others (2016); Nickerson and Seedorf (2016); Dicken and others (2016) and references therein; Nickerson and Seedorf (2016),,70.34,0,101
2008,Sheik Abad,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Iran,,32.4721,59.0276,39.31,0.1,Not reported,,,,,mixed,Magnin_2025,Dicken and others (2016); Richards and others (2012); Dicken and others (2016) and references therein,,39.31,0,505
2009,Shesuo,Porphyry,Porphyry copper,China,,31.4006,88.9311,116.0,,Direct — Ore mineral,,,,,mixed,Magnin_2025,Dicken and others (2016); Zhao and others (2009); Dicken and others (2016) and references therein,,116.0,0,606
2010,Sheykh Darabad,Porphyry,Porphyry copper,Iran,,37.3833,47.5833,20.6,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,Possible porphyry-related Cu occurrence.,20.6,0,505
2011,Shibadougou,Porphyry,Porphyry copper,China,,43.138,127.942,,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,601
2012,Shikahoh,Porphyry,Porphyry copper,Armenia,,39.0962,46.4728,143.5,,Not reported,,,,,mixed,Magnin_2025,Dicken and others (2016); Singer and others (2008) and references therein; Dicken and others (2016) and references therein,,143.5,0,526
2013,Shir Kuh,Porphyry,Porphyry copper,Iran,,26.9833,58.3083,,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,Possible porphyry copper-iron.,0.0,1,50602
2014,Shirin Daragh,Porphyry,Porphyry copper,Iran,,38.5,47.125,19.62,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,19.62,0,526
2015,Shiveen Gol,Porphyry,Porphyry copper,Mongolia,,49.3481,92.1222,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,401
2016,Sholugh Abad,Porphyry,Porphyry copper,Iran,,33.867,52.225,,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Iran Geological Survey (2012d) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,505
2017,Shoorazgah,Porphyry,Porphyry copper,Iran,,36.8419,48.8277,28.47,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,28.47,0,505
2018,Shtokverk,Porphyry,Porphyry copper,Russia,,63.63333,165.58333,14.18,,Inferred,,,,,mixed,Magnin_2025,"Dicken and others (2016); Andrei F. Chitalin (written commun., 2009) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein",,14.18,0,43201
2019,Shuangyangdabana,Porphyry,Porphyry copper,China,,35.5462,81.6731,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Lui and others (2005); Dicken and others (2016) and references therein,,0.0,1,457
2020,Shurtiin Khundii,Porphyry,Porphyry copper,Mongolia,,44.1808,98.3602,290.0,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,451
2021,Shurykan,Porphyry,Porphyry copper,Russia,,68.70003,174.33919,85.0,,Inferred — Age of Okhotsk-Chukotka metallogenic belt,,,,,mixed,Magnin_2025,Dicken and others (2016); Volkov and others (2006); Dicken and others (2016) and references therein,,85.0,0,43300
2022,Shuteen,Porphyry,Porphyry copper,Mongolia,,43.942,107.6962,321.0,9.0,Not reported,,,,,island arc,Magnin_2025,Dicken and others (2016); Batkhishig and others (2010); Dicken and others (2016) and references therein,,250.0,0,430
2023,Shuteen har Tolgoi,Porphyry,Porphyry copper,Mongolia,,43.9833,107.7333,290.0,,Inferred,,,,,island arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,250.0,0,430
2024,Sibert,Porphyry,Porphyry copper,France,,46.01833,4.32806,290.0,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,290.0,0,305
2025,Sierra de San Carlos,Porphyry,Porphyry copper,Mexico,,24.67996,-99.08487,,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,95104
2026,Sierra Gorda,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Chile,,-22.88056,-69.33889,63.5,,Not reported,,1786.376,0.397,7.09191272,continental arc,Magnin_2025,Dicken and others (2016); Sillitoe and McKee (1996); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources and reserves.,63.5,0,202
2027,Sigalagala,Porphyry,Porphyry copper,Indonesia,,3.396,97.894,10.0,,Not reported,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,10.0,0,67352
2028,Sijarinska Banja,Porphyry,Porphyry copper,Serbia,,42.776,21.623,,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); [Serbia] Ministry of Mining and Energy (2010) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,349
2029,Silic,Porphyry,Porphyry copper,Turkey,,39.1715,39.4863,,,Inferred,,,,,mixed,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,522
2030,Siliqua,Porphyry,Porphyry copper,Italy,,39.32,8.85,19.62,,Inferred,,,,,postconvergence,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,19.62,0,306
2031,Silistar,Porphyry,Porphyry copper,Bulgaria,,42.04122,27.93543,83.25,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Nakov and others (2002); Dicken and others (2016) and references therein,,83.25,0,338
2032,Silver Bell (El Tiro),Porphyry,Porphyry copper-molybdenum — Calc-alkaline,United States,,32.40362,-111.52488,64.1,0.5,Direct — Ore mineral,,194.5,0.55,1.06975,continental arc,Magnin_2025,Dicken and others (2016); Mizer (2018); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources and reserves.,64.1,0,101
2033,Silver Queen,Porphyry,Porphyry copper,Canada,,60.22612,-135.04891,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,1035
2034,Simberi,Porphyry,Porphyry copper,Papua New Guinea,,-2.6285,151.9924,,,,,,,,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein,,0.0,1,847
2035,Simuku (Simku; Simiku),Porphyry,Porphyry copper-molybdenum - High-sulfidation (HS) epithermal silver-gold ± Cu — Calc-alkaline,Papua New Guinea,,-5.733,150.033,22.0,,Inferred — Associated intrusion,,200.0,0.36,0.72,island arc,Magnin_2025,Dicken and others (2016); Holm and others (2013) in Holm and others (2019); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Adakitic composition. Grade-tonnage are code compliant resources.,22.0,0,830
2036,Sin,Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Turkey,,39.1953,39.3749,,,Inferred,,,,,mixed,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,522
2037,Sin Abad,Porphyry,Porphyry copper,Iran,,29.2,57.2667,,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,0.0,1,505
2038,Sinipsip,Porphyry,Porphyry copper,Philippines,,16.73333,120.76667,,,,,8.0,0.51,0.0408,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein; Sillitoe and Gappe (1984),,0.0,1,737
2039,Sinivit-Kavursuki,Porphyry,Porphyry copper,Papua New Guinea,,-4.623,152.047,,,,,2.051,0.257,0.00527107,island arc,Magnin_2025,Dicken and others (2016); ; Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code compliant resources.,0.0,1,830
2040,Sipalay (Bunulig),Porphyry,Porphyry copper-molybdenum — Calc-alkaline,Philippines,,9.81832,122.45562,30.2,,Not reported,,807.0,0.47,3.7929,island arc,Magnin_2025,Dicken and others (2016); Walther and others (1981); Dicken and others (2016) and references therein; Mudd and Jowitt (2018),Grade-tonnage are code noncompliant resources.,30.2,0,674
2041,Sisinku,Porphyry,Porphyry copper,Russia,,49.231,139.169,78.25,,Inferred,,,,,mixed,Magnin_2025,"Dicken and others (2016); Andrei F. Chitalin (written commun., 2009) in Dicken and others (2016) and references therein; Dicken and others (2016) and references therein",,78.25,0,619
2042,Sisorta,Porphyry,Porphyry copper,Turkey,,40.4008,38.005,49.95,,Inferred,,,,,mixed,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,49.95,0,526
2043,Siuluk Deras,Porphyry,Porphyry copper,Indonesia,,-1.952,101.206,3.96,,Inferred,,,,,continental arc,Magnin_2025,Dicken and others (2016); Dicken and others (2016) and references therein; Dicken and others (2016) and references therein,,3.96,0,67350
